BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,Plan_A_Total_Cost,Plan_B_Total_Cost,Plan_D_Total_Cost
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10015.0,3928.0,3518.0,201.0,209.0,0.428,0.462,9748.0,4904.0,2852.0,1541.0,511.0,10.166,5.066,4751.0,4340.0,49.106,3928.0,4904.0,4340.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13083.0,5928.0,5226.0,518.0,184.0,0.66,1.2990000000000002,12884.0,6981.0,3807.0,2139.0,1035.0,9.777999999999999,8.17,13156.0,6192.0,59.441,5928.0,6981.0,6192.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,183.0,9625.0,8247.0,3884.5305490458654,1405.2687479075996,0.907,10.00132281553398,177.0,7422.0,4129.0,1982.0,1311.0,13.277000000000001,6.045,80.0,4224.0,47.375,13536.799296953464,7422.0,4224.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,222.0,12070.0,8571.0,2783.0,716.0,1.117,5.716,221.0,10675.0,5109.0,3241.0,2325.0,10.529000000000002,9.837,216.0,5983.0,69.347,12070.0,10675.0,5983.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1188.0,4401.0,3959.0,248.0,194.0,0.43200000000000005,0.5920000000000001,1140.0,5646.0,2917.0,1692.0,1037.0,10.095,6.126,588.0,7462.0,52.007,4401.0,5646.0,7462.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2403.0,6664.0,5502.0,860.0,302.0,0.609,2.347,2377.0,6725.0,3097.0,2207.0,1421.0,9.073,8.681000000000001,2396.0,8936.0,72.985,6664.0,6725.0,8936.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,60.0,23398.0,16325.0,3884.5305490458654,1405.2687479075996,1.2830000000000001,10.00132281553398,59.0,10155.0,4894.0,3835.0,1426.0,8.746,11.407,60.0,7512.0,100.6,21614.799296953468,10155.0,7512.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,518.0,5972.0,5116.0,573.0,283.0,0.525,1.334,509.0,9061.0,5576.0,2430.0,1055.0,14.878,6.709,255.0,7049.0,60.573,5972.0,9061.0,7049.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,633.0,10859.0,9030.0,1435.0,394.0,0.9159999999999999,3.7310000000000003,626.0,9244.0,4889.0,2794.0,1561.0,12.949000000000002,10.128,628.0,9020.0,77.392,10859.0,9244.0,9020.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11038.0,3880.0,3702.0,83.0,95.0,0.49,0.195,10497.0,4374.0,2432.0,1569.0,373.0,7.947,4.691,4967.0,4407.0,49.544,3880.0,4374.0,4407.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12367.0,6725.0,6290.0,299.0,136.0,0.8390000000000001,0.853,12067.0,6214.0,3155.0,2439.0,620.0,7.941,8.172,12354.0,6501.0,59.268,6725.0,6214.0,6501.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,488.0,10338.0,8835.0,1014.0,489.0,1.035,2.115,468.0,6511.0,3678.0,2001.0,832.0,9.915,6.244,195.0,3422.0,48.728,10338.0,6511.0,3422.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,572.0,16262.0,13255.0,2421.0,586.0,1.5090000000000001,5.869,558.0,11400.0,5090.0,4974.0,1336.0,9.276,9.952,554.0,6146.0,70.726,16262.0,11400.0,6146.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2539.0,6208.0,5635.0,317.0,256.0,0.6679999999999999,0.647,2498.0,6969.0,4173.0,2216.0,580.0,12.69,6.4079999999999995,1207.0,4696.0,57.903999999999996,6208.0,6969.0,4696.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2911.0,8288.0,7351.0,667.0,270.0,0.9940000000000001,1.676,2874.0,8892.0,4410.0,2956.0,1526.0,11.762,9.238999999999999,2969.0,6779.0,70.531,8288.0,8892.0,6779.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,117.0,13228.0,10851.0,3884.5305490458654,1405.2687479075996,1.239,10.00132281553398,117.0,10046.0,5487.0,2699.0,1860.0,12.966,8.402000000000001,59.0,3885.0,60.729,16140.799296953464,10046.0,3885.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,155.0,15687.0,11666.0,3180.0,841.0,1.426,8.006,152.0,12204.0,5839.0,3123.0,3242.0,13.243,10.960999999999999,157.0,6930.0,79.758,15687.0,12204.0,6930.0
